Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
275.15	279.53	undefined	5.1773	15.207	27.055	447.10	0.0022366	5.1773	15.207	27.055	34.468	46.458	2035.7	-0.57260	87.397	0.25663	447.10	0.0022366	5.1773	15.207	27.055	34.468	46.458	2035.7	-0.57260	87.397	0.25663
276.90	281.78	undefined	5.2376	15.349	27.273	447.10	0.0022366	5.2376	15.349	27.273	34.508	46.469	2038.8	-0.57248	87.083	0.25695	447.10	0.0022366	5.2376	15.349	27.273	34.508	46.469	2038.8	-0.57248	87.083	0.25695
278.65	284.03	undefined	5.2980	15.490	27.491	447.10	0.0022366	5.2980	15.490	27.491	34.549	46.481	2041.9	-0.57235	86.773	0.25727	447.10	0.0022366	5.2980	15.490	27.491	34.549	46.481	2041.9	-0.57235	86.773	0.25727
280.40	286.28	undefined	5.3585	15.631	27.707	447.10	0.0022366	5.3585	15.631	27.707	34.592	46.494	2044.9	-0.57220	86.469	0.25759	447.10	0.0022366	5.3585	15.631	27.707	34.592	46.494	2044.9	-0.57220	86.469	0.25759
282.15	288.52	undefined	5.4190	15.772	27.922	447.10	0.0022366	5.4190	15.772	27.922	34.635	46.508	2048.0	-0.57203	86.169	0.25791	447.10	0.0022366	5.4190	15.772	27.922	34.635	46.508	2048.0	-0.57203	86.169	0.25791
283.90	290.76	undefined	5.4797	15.913	28.137	447.10	0.0022366	5.4797	15.913	28.137	34.679	46.524	2051.0	-0.57185	85.874	0.25823	447.10	0.0022366	5.4797	15.913	28.137	34.679	46.524	2051.0	-0.57185	85.874	0.25823
285.65	292.99	undefined	5.5404	16.053	28.350	447.10	0.0022366	5.5404	16.053	28.350	34.725	46.541	2054.0	-0.57165	85.584	0.25855	447.10	0.0022366	5.5404	16.053	28.350	34.725	46.541	2054.0	-0.57165	85.584	0.25855
287.39	295.22	undefined	5.6012	16.194	28.562	447.10	0.0022366	5.6012	16.194	28.562	34.771	46.559	2057.0	-0.57144	85.298	0.25887	447.10	0.0022366	5.6012	16.194	28.562	34.771	46.559	2057.0	-0.57144	85.298	0.25887
289.14	297.44	undefined	5.6620	16.335	28.773	447.10	0.0022366	5.6620	16.335	28.773	34.818	46.579	2059.9	-0.57121	85.016	0.25919	447.10	0.0022366	5.6620	16.335	28.773	34.818	46.579	2059.9	-0.57121	85.016	0.25919
290.89	299.65	undefined	5.7230	16.475	28.983	447.10	0.0022366	5.7230	16.475	28.983	34.866	46.599	2062.8	-0.57096	84.738	0.25951	447.10	0.0022366	5.7230	16.475	28.983	34.866	46.599	2062.8	-0.57096	84.738	0.25951
292.64	301.86	undefined	5.7840	16.615	29.192	447.10	0.0022366	5.7840	16.615	29.192	34.915	46.621	2065.7	-0.57070	84.465	0.25983	447.10	0.0022366	5.7840	16.615	29.192	34.915	46.621	2065.7	-0.57070	84.465	0.25983
