Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
4.6515000000e+02 6.3500000000e+01 2.7438570130e+02 4.2541299275e-01 6.7256358081e+04 2.8813235344e+01 4.5275695451e+09 3.8833775728e+06 1.8512574252e+07 3.6326206083e+04 -3.4031871981e+02 1.9208713082e-01 -9.3007208563e+04 9.9252253689e+01 2.0279471784e+02 8.6879101077e-02 2.0192312753e-03 1.6224092113e-03 9.6123885154e-03 1.2705383507e-02 4.4408625576e+01 5.3295869951e+01 7.1546571629e+00 3.7687837323e+01 2.6416977428e+01 -9.0177821268e-02 1.1311123283e+00 8.5173048581e+02 8.0862398136e+02
5.0515000000e+02 6.3500000000e+01 3.5427712636e+02 4.4097706328e-01 7.2592356820e+04 3.1853030176e+01 5.2747243609e+09 4.6416432824e+06 2.5784845006e+07 4.3096008756e+04 -3.0919684026e+02 1.8492809999e-01 -1.0918153672e+05 8.4322824480e+01 1.8788801959e+02 8.2443979227e-02 1.8210312144e-03 1.4904260261e-03 1.0022218963e-02 1.2944874984e-02 4.6817574679e+01 5.4175218956e+01 7.2356378498e+00 3.9903932385e+01 2.3200166784e+01 -1.2625154232e-01 1.2024608308e+00 8.4910422493e+02 7.4713997696e+02
5.5015000000e+02 6.3500000000e+01 4.3815212455e+02 4.6912429781e-01 7.8545314692e+04 3.5547021359e+01 6.1756856773e+09 5.5939651938e+06 3.4494650547e+07 5.2055993126e+04 -2.7973022259e+02 1.8371698346e-01 -1.2219362696e+05 7.4668196429e+01 1.7364796632e+02 7.8587347851e-02 1.6903315433e-03 1.3898815459e-03 1.0592016869e-02 1.3251906308e-02 4.9529035705e+01 5.6168309419e+01 7.4533536394e+00 4.2457992017e+01 2.1276062979e+01 -1.1524058860e-01 1.2723696379e+00 8.4808965968e+02 6.9826453790e+02
6.0015000000e+02 6.3500000000e+01 5.2618540451e+02 4.8954615742e-01 8.5121325899e+04 3.9219421747e+01 7.2533324761e+09 6.6848011286e+06 4.4881739092e+07 6.1820261092e+04 -2.5179985746e+02 1.7708662983e-01 -1.3213702508e+05 7.1031295628e+01 1.6023286781e+02 7.3826862469e-02 1.5123305971e-03 1.2698769887e-03 1.0906309470e-02 1.3399170062e-02 5.2500438338e+01 5.7869682869e+01 7.5293329508e+00 4.5268978263e+01 1.8921404253e+01 -1.5981654270e-01 1.3387571791e+00 8.5528428776e+02 6.6254216762e+02
4.6515000000e+02 7.3500000000e+01 2.8411879870e+02 4.1739168207e-01 6.1775154881e+04 2.4280504755e+01 3.8191180647e+09 3.0037466708e+06 1.7599325843e+07 3.2422235861e+04 -3.6940355435e+02 1.9437636370e-01 -1.0458937472e+05 1.0749276031e+02 2.2078834422e+02 8.6780072862e-02 1.8012602431e-03 1.5812231291e-03 7.4315976411e-03 1.0702649204e-02 4.4408625576e+01 5.2653297196e+01 7.4011777137e+00 3.7897638997e+01 2.7328466354e+01 -2.2375337343e-01 1.0433191643e+00 9.2019007242e+02 9.3373809995e+02
5.0515000000e+02 7.3500000000e+01 3.6434383202e+02 4.4220616405e-01 6.6307326501e+04 2.7073697402e+01 4.4003272061e+09 3.5990649500e+06 2.4215485116e+07 3.8923997145e+04 -3.3712458392e+02 1.9284199027e-01 -1.2245243400e+05 9.3028250287e+01 2.0569724162e+02 8.3987474234e-02 1.6898732266e-03 1.4788738992e-03 7.9265992347e-03 1.0995252962e-02 4.6817574679e+01 5.4262703972e+01 7.5587531084e+00 4.0069377118e+01 2.4912362701e+01 -2.1036092305e-01 1.1011600021e+00 9.1135322669e+02 8.5997105812e+02
5.5015000000e+02 7.3500000000e+01 4.4880938585e+02 4.7229641496e-01 7.1399300295e+04 3.0796250653e+01 5.1026030763e+09 4.4067035900e+06 3.2113872417e+07 4.7162948828e+04 -3.0652726729e+02 1.9092524236e-01 -1.3718880301e+05 8.5199040380e+01 1.9102756055e+02 8.2394821965e-02 1.6113289201e-03 1.3880998097e-03 8.7456935023e-03 1.1482218041e-02 4.9529035705e+01 5.6371220991e+01 7.8032888663e+00 4.2655134872e+01 2.2410812630e+01 -1.6912903264e-01 1.1600805738e+00 8.8940162713e+02 7.6840535204e+02
6.0015000000e+02 7.3500000000e+01 5.3831639147e+02 5.0309609393e-01 7.7060285154e+04 3.4268632815e+01 5.9441604184e+09 5.2861178009e+06 4.1565163004e+07 5.6687422140e+04 -2.7690809445e+02 1.9009481720e-01 -1.4866955211e+05 8.0408067857e+01 1.7699433804e+02 7.8709207583e-02 1.4930086175e-03 1.2894441320e-03 9.1976476612e-03 1.1705658068e-02 5.2500438338e+01 5.8637656805e+01 7.9757768463e+00 4.5454504733e+01 2.0603959992e+01 -1.6071140449e-01 1.2173771436e+00 8.9018806511e+02 7.2240812596e+02
4.6515000000e+02 8.6500000000e+01 3.0472925472e+02 4.1896627579e-01 5.6664707142e+04 2.0664100757e+01 3.2130244878e+09 2.3463168583e+06 1.7307990694e+07 2.9791648460e+04 -4.0075612953e+02 1.9896581494e-01 -1.2174971359e+05 1.1708574132e+02 2.4070069093e+02 8.7777094074e-02 1.6662867521e-03 1.5848828671e-03 5.8681469709e-03 9.1111139325e-03 4.4408625576e+01 5.2778470219e+01 8.0053056178e+00 3.8109988838e+01 2.9365125078e+01 -2.8403893463e-01 9.6976787055e-01 9.9019294696e+02 1.0798595406e+03
5.0515000000e+02 8.6500000000e+01 3.8382465488e+02 4.4133613239e-01 6.0425403179e+04 2.3065290309e+01 3.6538899195e+09 2.7905463466e+06 2.3240779640e+07 3.5186486514e+04 -3.6848204412e+02 1.9531177861e-01 -1.4105626950e+05 1.0414430329e+02 2.2572020115e+02 8.6160814728e-02 1.5671857515e-03 1.4696967445e-03 6.3132294098e-03 9.3609490908e-03 4.6817574679e+01 5.4200751623e+01 8.0451010532e+00 4.0233522040e+01 2.6246632105e+01 -2.7318685229e-01 1.0113615100e+00 9.7229405113e+02 9.7538014133e+02
5.5015000000e+02 8.6500000000e+01 4.6942887714e+02 4.6922966742e-01 6.4707184145e+04 2.5524503601e+01 4.1902778329e+09 3.3076416957e+06 3.0432002417e+07 4.1933282005e+04 -3.3618673392e+02 1.9859360717e-01 -1.5741910938e+05 9.2715447770e+01 2.1078392362e+02 8.3146177483e-02 1.4538451868e-03 1.3655410978e-03 6.6291008458e-03 9.5128764597e-03 4.9529035705e+01 5.6175027665e+01 8.1591366454e+00 4.2824565566e+01 2.3972871398e+01 -2.7119571233e-01 1.0554104186e+00 9.6890034246e+02 9.0853511256e+02
6.0015000000e+02 8.6500000000e+01 5.5906863559e+02 4.9660510771e-01 6.9458237321e+04 2.8358649996e+01 4.8284686011e+09 3.9468637727e+06 3.8898641076e+07 4.9865591216e+04 -3.0569840755e+02 1.9767600272e-01 -1.7050372622e+05 8.8280990451e+01 1.9636597020e+02 8.0172979259e-02 1.3420365974e-03 1.2607607617e-03 6.9881331556e-03 9.6913583831e-03 5.2500438338e+01 5.8267148997e+01 8.2448332412e+00 4.5630494989e+01 2.1633208574e+01 -2.7281728511e-01 1.0982180576e+00 9.6465183481e+02 8.4469389516e+02
